case,question,option_a,option_b,option_c,option_d,answer
Ketan Parekh,What is circular trading?,Placing orders at foreign exchanges,Using the same stockbroker across firms,Artificially creating volume by buying and selling among related parties,Skipping settlement dates,c
Ketan Parekh,What audit failure was seen in this case?,Unverified tax payments,Concentration risk not flagged,GST mismatches,Payroll issues,b
Ketan Parekh,Which financial instrument did Parekh use excessively?,Debentures,Loans against shares,Preference shares,Depository Receipts,b
Ketan Parekh,Which investor group was most affected?,Insurance firms,Retail investors,PSUs,NBFCs,b
Ketan Parekh,What control could prevent such manipulation?,Weekly inventory check,Limit on broker concentration,Randomized salary audit,Increased insurance,b
Ketan Parekh,What caused the K-10 stocks to crash?,Poor company fundamentals,Market awareness of artificial trading,Intervention by NCLT,Regulatory audit of promoters,b
Ketan Parekh,What punishment did SEBI impose?,Imprisonment,10-year trading ban,Income tax raid,GST license suspension,b
Ketan Parekh,Which city was Parekh based in?,Mumbai,Delhi,Ahmedabad,Kolkata,a
Ketan Parekh,Which of the following is a red flag in stock audits?,High revenue,Unusual price–volume spikes,Stock splits,Board approvals,b
Ketan Parekh,Which of these is a preventive control?,Limit setting for broker exposure,Bonus issuance,IPO participation,Dividend tracking,a
Ketan Parekh,What lesson does the Parekh scam offer auditors?,Review related party tax only,Ignore trading data,Watch for concentration and circular trades,Skip SEBI alerts,c
Talwalkars Gym,What was the core allegation in the Talwalkars Gym fraud?,GST evasion,Stock rigging,Fictitious revenue and undisclosed debt,Insider trading,c
Talwalkars Gym,What was the official name of the listed company involved?,Talwalkars Fitness India Ltd.,Better You Gym Ltd.,Talwalkars Better Value Fitness Ltd.,Talwalkars Mega Gym Ltd.,c
Talwalkars Gym,Which financial instrument did Talwalkars default on?,Mutual fund redemptions,Debentures,Equity shares,Loans from NBFCs,b
Talwalkars Gym,Which regulator suspended trading of Talwalkars shares?,RBI,CBI,SEBI,IRDAI,c
Talwalkars Gym,What financial inconsistency triggered investigation?,Mismatch in income tax filings,Fake franchise outlets,Difference between media announcements and stock exchange filings,Absence of director KYC,c
Talwalkars Gym,What is one major red flag auditors could have caught?,Missing TDS certificates,Same revenue pattern across all outlets,Revenue from non-existent gym outlets,Late GST payment,c
Talwalkars Gym,What was Talwalkars primarily engaged in?,Salon business,Healthcare product sales,Gym and wellness centers,Online fitness streaming,c
Talwalkars Gym,How did Talwalkars inflate its financials?,Understated depreciation,Fake cash sales,Fake store openings and inflated revenue,Transfer pricing misuse,c
Talwalkars Gym,What type of lending exposure was hidden from investors?,NBFC advances,Bank overdrafts,Inter-corporate borrowings,Unsecured loans,d
Talwalkars Gym,Which SEBI regulation was likely breached?,Buyback Code,Disclosure norms for listed companies,Mutual fund investment rules,Takeover Code,b
Talwalkars Gym,What internal audit weakness was noted?,Payroll errors,Unverified revenue sources and weak controls over outlet reporting,Missing fixed asset register,Incorrect VAT returns,b
Talwalkars Gym,Why is reconciliation of outlet-level sales important?,To track loyalty points,For better marketing,To confirm actual earnings match reported revenue,For GST invoice generation,c
Talwalkars Gym,How did auditors miss the red flags?,Overreliance on management data without external verification,Too many branches,Lack of SAP access,Delays in statutory filings,a
Talwalkars Gym,What forensic measure could have exposed the fraud earlier?,Valuation report,Debenture trustee audit,Outlet-level sales tie-up with system logs,Inventory count,c
Talwalkars Gym,What category of accounting manipulation was used?,Overstated expenses,Channel stuffing,Fictitious revenue recognition,Tax shield claims,c
Talwalkars Gym,Which document mismatch was a major trigger?,Board resolution vs AGM,Annual return vs MCA filings,Media vs SE filing announcements,Trial balance vs PL,c
Talwalkars Gym,What kind of debt was hidden?,Pledged shares,Corporate FDs,Convertible preference shares,Undisclosed unsecured loans,d
Talwalkars Gym,What lesson should auditors learn from Talwalkars?,Ignore retail companies,Rely only on cash flow,Reconcile branch-level data independently,Trust press statements,c
Talwalkars Gym,What was the impact on investors?,Dividend payout increased,Share value crashed and trading suspended,Bonus issue declared,All shares bought back,b
Talwalkars Gym,Which financial metric was most distorted?,EBITDA margin,Debt-equity ratio,Asset turnover,Operating profit,b
